birth_date,player_id,Player
6/13/1993,1,A. Abdullah
8/6/1988,2,A. Allen
8/17/1992,3,A. Andrews
4/27/1991,4,A. Blue
3/19/1986,5,A. Bradshaw
11/29/1991,6,A. Brown
8/26/1994,7,A. Collins
5/2/1993,8,A. Cross
5/2/1998,9,A. Dillon
9/24/1987,10,A. Dixon
5/17/1995,11,A. Ekeler
2/3/1989,12,A. Ellington
8/24/1986,13,A. Foster
6/23/1998,14,A. Gibson
10/15/1992,15,A. Green
2/22/1993,16,A. Hunt
7/9/1996,17,A. Ingold
5/23/1993,18,A. Janovich
12/2/1994,19,A. Jones
7/25/1995,20,A. Kamara
6/19/1998,21,A. Mattison
3/4/1998,22,A. McFarland
12/12/1988,23,A. Morris
3/21/1985,24,A. Peterson
12/20/1992,25,A. Ripkowski
12/11/1988,26,A. Sherman
9/17/1985,27,A. Smith
8/17/1996,28,A. Walter
8/28/1992,29,A. Williams
12/21/1987,30,B. Batch
1/26/1990,31,B. Bolden
5/14/1991,32,B. Brown
7/7/1990,33,B. Cunningham
7/2/1985,34,B. Green-Ellis
11/9/1995,35,B. Hill
7/6/1982,36,B. Jacobs
2/3/1984,37,B. Leonard
8/6/1987,38,B. Miller
5/7/1991,39,B. Oliver
5/10/1991,40,B. Pierce
10/27/1988,41,B. Powell
10/16/1987,42,B. Rainey
9/15/1992,43,B. Sankey
9/29/1996,44,B. Scarbrough
4/27/1995,45,B. Scott
2/27/1998,46,B. Snell
8/21/1988,47,B. Tate
8/7/1988,48,B. Wells
6/22/1999,49,C. Akers
2/10/1991,50,C. Anderson
6/23/1990,51,C. Artis-Payne
12/28/1982,52,C. Benson
9/20/1985,53,C. Brinkley
9/16/1994,54,C. Carson
11/2/1994,55,C. Clement
4/13/1996,56,C. Edmonds
4/11/1999,57,C. Edwards-Helaire
10/5/1997,58,C. Evans
12/19/1991,59,C. Grant
7/22/1993,60,C. Ham
6/11/1999,61,C. Hubbard
9/20/1990,62,C. Hyde
3/22/1988,63,C. Ivory
9/23/1985,64,C. Johnson
6/7/1996,65,C. McCaffrey
11/9/1990,66,C. Michael
5/20/1986,67,C. Ogbonnaya
3/17/1991,68,C. Patterson
10/10/1986,69,C. Peerman
12/16/1989,70,C. Polk
5/20/1994,71,C. Prosise
3/2/1988,72,C. Rainey
6/15/1996,73,C. Reynolds
9/19/1990,74,C. Sims
8/5/1987,75,C. Spiller
10/20/1990,76,C. Thompson
6/2/1991,77,C. West
5/27/1992,78,D. Booker
4/11/1987,79,D. Brown
6/22/1987,80,D. Carter
6/3/1993,81,D. Cobb
8/10/1995,82,D. Cook
9/16/1998,83,D. Dallas
7/16/1998,84,D. Felton
4/24/1996,85,D. Foreman
11/22/1993,86,D. Foster
3/15/1992,87,D. Freeman
12/13/1994,88,D. Gore
6/21/1997,89,D. Guice
2/11/1997,90,Da. Harris
9/3/1988,90,Du. Harris
8/19/1997,91,D. Henderson
1/4/1994,92,D. Henry
3/21/1989,93,D. Herron
2/26/1995,94,D. Hilliard
2/27/1996,95,D. Johnson
9/27/1990,96,D. Lewis
1/13/1989,97,D. Martin
8/25/1988,98,D. McCluster
8/27/1987,99,D. McFadden
6/7/1997,100,D. Montgomery
2/12/1988,101,D. Murray
